task_id,n_sources,comparison_level,method,method_display,auc,auprc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,threshold
gue_emp_H3,53,Source control,best_standalone_source,Best standalone source/expert,0.924414059013584,0.9041636487108312,0.7094029724731705,0.8537074148296593,0.8533540993555988,0.8940397350993378,0.8126684636118598,0.55419921875
gue_human_tf_0,53,Source control,best_standalone_source,Best standalone source/expert,0.913124,0.8993856342582089,0.6661342411738336,0.827,0.827,0.922,0.732,0.490538779348135
gue_mouse_0,49,Source control,best_standalone_source,Best standalone source/expert,0.8828562719097699,0.8981144353155838,0.5991046169680296,0.7839506172839507,0.7839506172839505,0.6246913580246913,0.94320987654321,0.32044677734375
gue_prom_300_all,53,Source control,best_standalone_source,Best standalone source/expert,0.9795311144592064,0.980186738886354,0.8439156646467698,0.9219594594594596,0.9219627448294754,0.921476510067114,0.9224489795918368,0.6717529296875018
gue_prom_core_all,53,Source control,best_standalone_source,Best standalone source/expert,0.91907714583379,0.9199132289010492,0.6804026425572123,0.8402027027027027,0.8402006223566278,0.8409703504043127,0.8394308943089431,0.52734375
ipromoter_hs_notata,53,Source control,best_standalone_source,Best standalone source/expert,0.8962390043130594,0.8962058498420951,0.6427439279720032,0.8209416002058143,0.820954790149956,0.7953201337104654,0.8465894465894466,0.67919921875
ipromoter_hs_tata,53,Source control,best_standalone_source,Best standalone source/expert,0.9807129514321296,0.9793927104066036,0.8480290550774665,0.9236902050113897,0.9237339144873392,0.9045454545454544,0.9429223744292238,0.7418652343750001
ipromoter_mm_notata,53,Source control,best_standalone_source,Best standalone source/expert,0.9328959030089816,0.9338929003888622,0.7098151731300903,0.8523876186032042,0.8524519698929585,0.793349906774394,0.9115540330115228,0.6982421875
ipromoter_mm_tata,53,Source control,best_standalone_source,Best standalone source/expert,0.9855220306513408,0.9857211759694184,0.8665598820184909,0.9332603938730852,0.9331273946360152,0.9418103448275862,0.9244444444444444,0.7152636718750003
snnrice6ma_rice_chen,53,Source control,best_standalone_source,Best standalone source/expert,0.8235930735930735,0.820351401294613,0.4796535601758807,0.7396226415094339,0.7396901344269765,0.7575757575757576,0.7218045112781954,0.4888369530439377
gue_emp_H3,53,Channel control,best_source,Best individual evidence channel,0.9542475143249852,0.9488827721720804,0.790230388489304,0.895123580494322,0.895098266721408,0.8980132450331125,0.8921832884097035,0.4858333742618561
gue_human_tf_0,53,Channel control,best_source,Best individual evidence channel,0.920524,0.9063299424669315,0.6992882000059332,0.846,0.8460000000000001,0.918,0.774,0.5356780290603638
gue_mouse_0,49,Channel control,best_source,Best individual evidence channel,0.8690504496265813,0.8760634918449464,0.5885121270043732,0.7888888888888889,0.788888888888889,0.6938271604938272,0.8839506172839506,0.5492013305425644
gue_prom_300_all,53,Channel control,best_source,Best individual evidence channel,0.9812320230105466,0.9806726773977872,0.856635658615861,0.9282094594594594,0.9281251426745194,0.9406040268456376,0.9156462585034012,0.479427754878999
gue_prom_core_all,53,Channel control,best_source,Best individual evidence channel,0.9121454845360448,0.912863821443394,0.6593606276925333,0.8293918918918919,0.8294454305729042,0.8096361185983828,0.8492547425474255,0.5382888615131378
ipromoter_hs_notata,53,Channel control,best_source,Best individual evidence channel,0.8989294624676472,0.9017086309573524,0.6351957597994401,0.8175971186004631,0.8175964084423843,0.8189766006685524,0.8162162162162162,0.4963470995426178
ipromoter_hs_tata,53,Channel control,best_source,Best individual evidence channel,0.9807129514321296,0.9793927104066036,0.8480290550774665,0.9236902050113897,0.9237339144873392,0.9045454545454544,0.9429223744292238,0.7418652343750001
ipromoter_mm_notata,53,Channel control,best_source,Best individual evidence channel,0.9309694050071432,0.932252588853282,0.7110924554198101,0.8551874319489812,0.8552114787983119,0.8331261653200746,0.8772967922765493,0.5156011748313903
ipromoter_mm_tata,53,Channel control,best_source,Best individual evidence channel,0.981111111111111,0.9829723754336852,0.8635190277139877,0.9310722100656456,0.9314750957854404,0.9051724137931034,0.9577777777777776,0.6193242540955541
snnrice6ma_rice_chen,53,Channel control,best_source,Best individual evidence channel,0.8869332421964001,0.8921628690574508,0.569019431606341,0.7811320754716982,0.7814137616769196,0.8560606060606061,0.706766917293233,0.4166729375720025
gue_emp_H3,53,Simple pooling,probability_mean,Probability mean,0.9403509398261368,0.935433183010276,0.754287631956666,0.8770875083500334,0.87714785526856,0.8701986754966887,0.8840970350404312,0.5237484187646418
gue_human_tf_0,53,Simple pooling,probability_mean,Probability mean,0.921388,0.9048921372690124,0.694708596837951,0.839,0.839,0.948,0.73,0.4788888600142563
gue_mouse_0,49,Simple pooling,probability_mean,Probability mean,0.8590397805212618,0.8588470047099371,0.5883574701909472,0.7925925925925926,0.7925925925925925,0.7407407407407407,0.8444444444444444,0.5085775899218052
gue_prom_300_all,53,Simple pooling,probability_mean,Probability mean,0.9749355111171986,0.9719965487864428,0.8485789407721476,0.9241554054054054,0.9240617723599508,0.9379194630872484,0.9102040816326532,0.5020242998772415
gue_prom_core_all,53,Simple pooling,probability_mean,Probability mean,0.9076250442844724,0.9084406669967402,0.6601860863840681,0.8300675675675676,0.8300471515496826,0.8376010781671159,0.8224932249322493,0.4693679967640837
ipromoter_hs_notata,53,Simple pooling,probability_mean,Probability mean,0.8836629598779252,0.8817938598381231,0.598973635394867,0.7994597375868279,0.7994630600184727,0.7930059141167395,0.805920205920206,0.5025691367051222
ipromoter_hs_tata,53,Simple pooling,probability_mean,Probability mean,0.9477272727272728,0.9470478344420836,0.7449096080809201,0.8724373576309795,0.8724470734744707,0.8681818181818182,0.8767123287671232,0.5175272239273728
ipromoter_mm_notata,53,Simple pooling,probability_mean,Probability mean,0.9261245381059784,0.925047375237413,0.6990321996811668,0.8494322600715508,0.8494198876260307,0.8607830950901181,0.8380566801619433,0.4830008739944688
ipromoter_mm_tata,53,Simple pooling,probability_mean,Probability mean,0.9634626436781608,0.9658875918019112,0.7986609978132699,0.899343544857768,0.899353448275862,0.8987068965517241,0.9,0.5333488890556134
snnrice6ma_rice_chen,53,Simple pooling,probability_mean,Probability mean,0.8282638414217363,0.8452887818601136,0.4821759489560371,0.7358490566037735,0.7354465709728868,0.6287878787878788,0.8421052631578947,0.5408622357976747
gue_emp_H3,53,Attention fusion,reliability_attention,Reliability attention,0.9442833937273524,0.9416870766513408,0.7556018388425418,0.8777555110220441,0.8776592706306563,0.8887417218543047,0.866576819407008,0.4509948754897777
