task_id,stage,n_sources,auc,auprc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,threshold
ipromoter_hs_notata,plus_positional_biophysical_grammar,53,0.9304474257161324,0.9343286867656735,0.702138417362567,0.8509133007460766,0.8509208727516776,0.8362046798662895,0.8656370656370657,0.5079851400852206
ipromoter_hs_notata,complete_mucff,53,0.9306475413443787,0.9345053929220062,0.7024698090994773,0.8510419346539748,0.8510503671213365,0.8346618668038056,0.8674388674388674,0.5076077747344973
ipromoter_hs_tata,foundation_local_bank,48,0.973272104607721,0.9753586181738381,0.813265560604102,0.9054669703872438,0.905552096305521,0.8681818181818182,0.9429223744292238,0.6043022096157077
ipromoter_hs_tata,plus_rc_motif_experts,51,0.9792652552926526,0.9808145033204803,0.8498858393641976,0.9248291571753986,0.9248547114985471,0.9136363636363637,0.9360730593607306,0.5143562698364258
ipromoter_hs_tata,plus_biophysical_grammar,52,0.9791822332918223,0.9807435341527422,0.8475648634052831,0.9236902050113895,0.9237131589871317,0.9136363636363637,0.9337899543378996,0.5146089154481888
ipromoter_hs_tata,plus_positional_biophysical_grammar,53,0.9878113325031134,0.9884554156935982,0.874717531350154,0.9373576309794989,0.9373599003735991,0.9363636363636364,0.9383561643835616,0.49805694818496704
ipromoter_hs_tata,complete_mucff,53,0.9885066417600664,0.9890200679301067,0.8793866228968332,0.9396355353075171,0.9396533831465338,0.9318181818181818,0.9474885844748858,0.501937608718872
ipromoter_mm_notata,foundation_local_bank,48,0.9433356127621432,0.945009613847366,0.7451079962266131,0.8721418572095193,0.8721671096810433,0.8489745183343692,0.8953597010277172,0.5412074255943301
ipromoter_mm_notata,plus_rc_motif_experts,51,0.9516078489514854,0.9530679527436154,0.7651287738044317,0.8825633846632447,0.8825617211965007,0.8840894965817278,0.8810339458112737,0.4880862236022949
ipromoter_mm_notata,plus_biophysical_grammar,52,0.9519224720647386,0.9534663795980389,0.763947548368928,0.8819412039197387,0.8819480077321219,0.8756991920447483,0.8881968234194955,0.5154167020320894
ipromoter_mm_notata,plus_positional_biophysical_grammar,53,0.9533947456488427,0.9549893827377675,0.7673863263512407,0.8836522009643801,0.8836598536068622,0.8766314481044126,0.8906882591093117,0.5130396294593812
ipromoter_mm_notata,complete_mucff,53,0.9534932165863188,0.9550620604696639,0.7694818765623206,0.8847410172655157,0.8847410499837511,0.884711000621504,0.8847710993459982,0.49756522238254547
ipromoter_mm_tata,foundation_local_bank,48,0.9816522988505747,0.9838345656239982,0.8522653983054458,0.925601750547046,0.9259530651340997,0.9030172413793104,0.9488888888888889,0.6157062914967537
ipromoter_mm_tata,plus_rc_motif_experts,51,0.9858764367816092,0.9875281790027466,0.8774495733126039,0.9387308533916849,0.93875,0.9375,0.94,0.4884647206962109
ipromoter_mm_tata,plus_biophysical_grammar,52,0.9858716475095786,0.9875306604278065,0.8774495733126039,0.9387308533916849,0.93875,0.9375,0.94,0.4856305620074287
ipromoter_mm_tata,plus_positional_biophysical_grammar,53,0.9902969348659003,0.9911382020103024,0.8971402225708527,0.9485776805251641,0.9485153256704981,0.9525862068965517,0.9444444444444444,0.4376164379715921
ipromoter_mm_tata,complete_mucff,53,0.9909674329501915,0.9915540887588337,0.8993217897508938,0.949671772428884,0.9496264367816092,0.9525862068965517,0.9466666666666667,0.45880989670753486
snnrice6ma_rice_chen,foundation_local_bank,48,0.8843130553656869,0.8902979652713161,0.5466398737691469,0.7660377358490567,0.7664616085668717,0.8787878787878788,0.6541353383458647,0.3507743540406227
snnrice6ma_rice_chen,plus_rc_motif_experts,51,0.8847117794486217,0.8928049914521841,0.5398991206424848,0.7622641509433963,0.7627022100706311,0.8787878787878788,0.6466165413533834,0.35166440010070804
snnrice6ma_rice_chen,plus_biophysical_grammar,52,0.8845408976987924,0.89261125287288,0.5398991206424848,0.7622641509433963,0.7627022100706311,0.8787878787878788,0.6466165413533834,0.35166259407997136
snnrice6ma_rice_chen,plus_positional_biophysical_grammar,53,0.8845408976987924,0.89261125287288,0.5398991206424848,0.7622641509433963,0.7627022100706311,0.8787878787878788,0.6466165413533834,0.3516634047031403
snnrice6ma_rice_chen,complete_mucff,53,0.8846548188653452,0.8927166645567698,0.5398991206424848,0.7622641509433963,0.7627022100706311,0.8787878787878788,0.6466165413533834,0.3509066104888916
