task_id,method,n_sources,auc,auprc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,threshold
gue_human_tf_0,oof_skill_linear_pool,53,0.921732,0.905289522368908,0.6964406206784911,0.84,0.84,0.948,0.732,0.4776436102791603
gue_human_tf_0,oof_skill_logarithmic_pool,53,0.922332,0.9084828779224904,0.6771542778309272,0.828,0.828,0.952,0.704,0.4412447658739556
gue_human_tf_0,dempster_shafer_pool,53,0.868996,0.8044450068285389,0.7001919503801805,0.845,0.845,0.93,0.76,0.945710249379602
gue_human_tf_0,best_primitive_head,53,0.913124,0.8993856342582089,0.6661342411738336,0.827,0.827,0.922,0.732,0.490538779348135
gue_human_tf_0,best_standalone_source,53,0.913124,0.8993856342582089,0.6661342411738336,0.827,0.827,0.922,0.732,0.490538779348135
gue_human_tf_0,reliability_attention,53,0.921916,0.9057869975529924,0.7017197510494805,0.845,0.845,0.936,0.754,0.5121832715905488
gue_human_tf_0,family_best_weighted_pool,53,0.92324,0.9080707594545346,0.7010358223000748,0.843,0.843,0.946,0.74,0.4900078658739701
gue_human_tf_0,correlation_pruned_weighted_pool,53,0.921748,0.9063724583505792,0.6847396317918233,0.836,0.8360000000000001,0.932,0.74,0.497817702728126
gue_human_tf_0,choquet_integral,53,0.9205,0.905752871256229,0.678105845632274,0.834,0.8340000000000001,0.92,0.748,0.5121374780869069
gue_human_tf_0,raw_score_logistic_l2,53,0.922632,0.9095321747802332,0.6877423453963689,0.838,0.8380000000000001,0.93,0.746,0.4978953771293163
gue_human_tf_0,aligned_score_logistic_l2,53,0.923572,0.9097035616096218,0.6835370249067869,0.834,0.834,0.94,0.728,0.4926036727428437
gue_human_tf_0,sparse_aligned_control,53,0.923892,0.9096866078730428,0.6871618150347321,0.84,0.8400000000000001,0.912,0.768,0.5079689371585847
gue_human_tf_0,mucff,53,0.924844,0.9107212616105204,0.6813004132652556,0.837,0.837,0.91,0.764,0.504242742061615
gue_mouse_0,best_source,49,0.8690504496265813,0.8760634918449464,0.5885121270043732,0.7888888888888889,0.788888888888889,0.6938271604938272,0.8839506172839506,0.5492013305425644
gue_mouse_0,probability_mean,49,0.8590397805212618,0.8588470047099371,0.5883574701909472,0.7925925925925926,0.7925925925925925,0.7407407407407407,0.8444444444444444,0.5085775899218052
gue_mouse_0,probability_median,49,0.8592897424173143,0.8574480697613214,0.5820535360802604,0.7888888888888889,0.788888888888889,0.7283950617283951,0.8493827160493828,0.5028983503580093
gue_mouse_0,rank_mean,49,0.8599298887364732,0.8572662397936325,0.5644117674183572,0.7814814814814814,0.7814814814814814,0.745679012345679,0.817283950617284,0.5211397334729722
gue_mouse_0,majority_vote,49,0.8558817253467459,0.8461591485199693,0.5837018782789845,0.7901234567901234,0.7901234567901234,0.7358024691358025,0.8444444444444444,0.5306122448979592
gue_mouse_0,oof_skill_linear_pool,49,0.8672519433013259,0.8698883642271977,0.5976984744281221,0.7975308641975308,0.7975308641975309,0.7506172839506173,0.8444444444444444,0.5031525059101942
gue_mouse_0,oof_skill_logarithmic_pool,49,0.8628928516994361,0.8690174949323549,0.610851699409696,0.8,0.8,0.7061728395061728,0.8938271604938272,0.5554457060048067
gue_mouse_0,dempster_shafer_pool,49,0.8543148910227101,0.8412489910743501,0.630669984109385,0.808641975308642,0.808641975308642,0.7061728395061728,0.9111111111111112,0.9868352130681924
gue_mouse_0,best_primitive_head,49,0.8215881725346748,0.8372509454118128,0.499251393762025,0.7481481481481481,0.7481481481481482,0.6938271604938272,0.8024691358024691,0.5006097960472107
gue_mouse_0,best_standalone_source,49,0.8828562719097699,0.8981144353155838,0.5991046169680296,0.7839506172839507,0.7839506172839505,0.6246913580246913,0.94320987654321,0.32044677734375
gue_mouse_0,reliability_attention,49,0.8672519433013259,0.8698883642271977,0.5976984744281221,0.7975308641975308,0.7975308641975309,0.7506172839506173,0.8444444444444444,0.5031525059091105
gue_mouse_0,family_best_weighted_pool,49,0.8791769547325103,0.8853829258232149,0.6152956244253281,0.7962962962962963,0.7962962962962963,0.6617283950617284,0.9308641975308642,0.5538977421953181
gue_mouse_0,correlation_pruned_weighted_pool,49,0.8779393385154702,0.8868808852950341,0.5862441761699582,0.7814814814814814,0.7814814814814814,0.6419753086419753,0.9209876543209876,0.5700893415562345
gue_mouse_0,choquet_integral,49,0.8860234720317026,0.8950450184351048,0.6291579843995825,0.8061728395061728,0.8061728395061728,0.691358024691358,0.9209876543209876,0.595622041708912
gue_mouse_0,raw_score_logistic_l2,49,0.8999908550525835,0.9125248049910658,0.6652935103855545,0.825925925925926,0.825925925925926,0.725925925925926,0.925925925925926,0.6071716317534449
gue_mouse_0,aligned_score_logistic_l2,49,0.8996555403139765,0.9119118987218529,0.6677265524170372,0.828395061728395,0.828395061728395,0.7382716049382716,0.9185185185185184,0.573349076509476
gue_mouse_0,sparse_aligned_control,49,0.8993629019966469,0.9116703658186376,0.6624348904908103,0.8246913580246914,0.8246913580246914,0.725925925925926,0.9234567901234568,0.588956418633461
gue_mouse_0,mucff,49,0.899887212315196,0.91186455678107,0.6681594761638154,0.8271604938271605,0.8271604938271605,0.725925925925926,0.928395061728395,0.5933399403095245
gue_prom_300_all,best_source,53,0.9812320230105466,0.9806726773977872,0.856635658615861,0.9282094594594594,0.9281251426745194,0.9406040268456376,0.9156462585034012,0.479427754878999
gue_prom_300_all,probability_mean,53,0.9749355111171986,0.9719965487864428,0.8485789407721476,0.9241554054054054,0.9240617723599508,0.9379194630872484,0.9102040816326532,0.5020242998772415
gue_prom_300_all,probability_median,53,0.9750699105145412,0.9731303866237002,0.8448297036827144,0.9217905405405404,0.9215986394557822,0.95,0.8931972789115646,0.4576523303985598
gue_prom_300_all,rank_mean,53,0.9727636625119848,0.9707799236808908,0.8346849231747875,0.9172297297297296,0.9171414874674702,0.9302013422818792,0.9040816326530612,0.481606752907961
gue_prom_300_all,majority_vote,53,0.9692790941880108,0.961337665324104,0.8407065702258469,0.9202702702702704,0.92019358078802,0.9315436241610738,0.908843537414966,0.5094339622641509
gue_prom_300_all,oof_skill_linear_pool,53,0.9755457015020772,0.9729597850751612,0.848219409694551,0.9239864864864864,0.923896269917363,0.937248322147651,0.9105442176870748,0.5050321593721669
gue_prom_300_all,oof_skill_logarithmic_pool,53,0.9782431630370269,0.9771373952125836,0.8531880798069368,0.9263513513513514,0.9262292836597726,0.9442953020134228,0.9081632653061223,0.4784921163042347
gue_prom_300_all,dempster_shafer_pool,53,0.9361708441765968,0.9040728287315252,0.8518999219354718,0.9255067567567568,0.9253447016390448,0.9493288590604028,0.9013605442176872,0.0008213246312985
gue_prom_300_all,best_primitive_head,53,0.9560209788613432,0.9542660607922122,0.7830977237392386,0.8915540540540541,0.8915376889010638,0.8939597315436242,0.8891156462585034,0.476666659116745
gue_prom_300_all,best_standalone_source,53,0.9795311144592064,0.980186738886354,0.8439156646467698,0.9219594594594596,0.9219627448294754,0.921476510067114,0.9224489795918368,0.6717529296875018
gue_prom_300_all,reliability_attention,53,0.9780399945212984,0.976758345495778,0.8519592874808641,0.9258445945945946,0.9257510386705016,0.9395973154362416,0.911904761904762,0.5201166553089731
gue_prom_300_all,family_best_weighted_pool,53,0.978033374423595,0.9762410248467308,0.8542736917349294,0.926858108108108,0.9267280737798476,0.945973154362416,0.9074829931972788,0.5045041989304984
gue_prom_300_all,correlation_pruned_weighted_pool,53,0.9812530246998128,0.9809298720624724,0.8584510315020049,0.929222972972973,0.9291980550609504,0.9328859060402684,0.9255102040816326,0.564268781349633
gue_prom_300_all,choquet_integral,53,0.982784664201251,0.98275232872655,0.8655810824075761,0.9327702702702704,0.9327283933707712,0.9389261744966444,0.926530612244898,0.5914331365877259
gue_prom_300_all,raw_score_logistic_l2,53,0.9848028808838972,0.9845016646411086,0.8756371570838788,0.9376689189189188,0.9375736200520476,0.9516778523489932,0.923469387755102,0.4700906574726117
gue_prom_300_all,aligned_score_logistic_l2,53,0.9868724603935534,0.9874611580217998,0.8794843532405099,0.939695945945946,0.9396395470940052,0.947986577181208,0.9312925170068028,0.4530996978282932
