analysis_group,task_id,condition,replicate,auc,auprc,mcc,accuracy,balanced_accuracy,sensitivity,specificity
primary,gue_prom_core_all,random_missing_40,16,0.9195845911036604,0.9193434010133338,0.6741608386958688,0.8366554054054054,0.8367204106677185,0.8126684636118598,0.8607723577235772
primary,gue_prom_core_all,random_missing_40,17,0.8672514728011161,0.868645883346272,0.5422171468610963,0.7709459459459459,0.7708940532801555,0.7900943396226415,0.7516937669376694
primary,gue_prom_core_all,random_missing_40,18,0.909777292474744,0.9113700498745166,0.6517514827668957,0.8253378378378379,0.8254123477892461,0.7978436657681941,0.8529810298102981
primary,gue_prom_core_all,random_missing_40,19,0.9118009673189723,0.9136078984327047,0.6573894705383544,0.8283783783783784,0.8284346489017451,0.8076145552560647,0.8492547425474255
primary,gue_prom_core_all,random_missing_40,20,0.8905588015617354,0.8964042410675105,0.6029319238962493,0.8008445945945946,0.8009275999094223,0.7702156334231806,0.8316395663956639
primary,gue_prom_core_all,score_noise_005,1,0.9206733271426379,0.9205042339669108,0.6889493450168189,0.8442567567567567,0.8443021862833184,0.8274932614555256,0.8611111111111112
primary,gue_prom_core_all,score_noise_005,2,0.9212892579565958,0.9206939204554069,0.6863140539683417,0.8429054054054054,0.8429544773884396,0.8247978436657682,0.8611111111111112
primary,gue_prom_core_all,score_noise_005,3,0.9206532964083011,0.9196143474175658,0.6842681932384835,0.8418918918918918,0.8419400433896522,0.8241239892183289,0.8597560975609756
primary,gue_prom_core_all,score_noise_005,4,0.921782778727383,0.9217746816299416,0.6903527698185902,0.8449324324324324,0.8449806061402931,0.8271563342318059,0.8628048780487805
primary,gue_prom_core_all,score_noise_005,5,0.9212740779698902,0.9196982351230832,0.689312658497328,0.8444256756756757,0.8444724760589923,0.8271563342318059,0.8617886178861789
primary,gue_prom_core_all,score_noise_005,6,0.9208554299154852,0.9192139934211959,0.689312658497328,0.8444256756756757,0.8444724760589923,0.8271563342318059,0.8617886178861789
primary,gue_prom_core_all,score_noise_005,7,0.9215008646885658,0.9195321604602409,0.6937330901408717,0.8466216216216216,0.8466698076684271,0.8288409703504043,0.8644986449864499
