run_task_id,evaluation_task,source,source_family,oof_auc,test_auc,oof_selected,oof_selected_individual_channel,oof_selected_standalone_source
gue_human_tf_0,gue_human_tf_0,center_context__extratrees_300,motif_position,0.7470080825254151,0.7762140000000001,False,False,False
gue_human_tf_0,gue_human_tf_0,dnabert2__scaled_logreg_l2_c1,foundation_db2,0.8481458415883382,0.888304,False,False,False
gue_human_tf_0,gue_human_tf_0,dnabert2__scaled_logreg_l2_c03,foundation_db2,0.8483708806133154,0.8886839999999999,False,False,False
gue_human_tf_0,gue_human_tf_0,dnabert1_6mer_mean__linear,foundation_db1,0.8774550884239031,0.9153560000000001,False,False,True
gue_human_tf_0,gue_human_tf_0,dnabert1_6mer_cls__linear,foundation_db1,0.8435783456926037,0.8778440000000001,False,False,False
gue_human_tf_0,gue_human_tf_0,nt_500m_human_ref_mean__linear,foundation_nt,0.811475833771896,0.854224,False,False,False
gue_human_tf_0,gue_human_tf_0,nt_500m_human_ref_cls__linear,foundation_nt,0.8140309094395559,0.8623519999999999,False,False,False
gue_human_tf_0,gue_human_tf_0,dnashaper_shape4__logreg_c1,dna_shape,0.8222432236769549,0.874052,False,False,False
gue_human_tf_0,gue_human_tf_0,dnashaper_shape4__histgb,dna_shape,0.8441084059064062,0.89436,False,False,False
gue_human_tf_0,gue_human_tf_0,dnashaper_ep__logreg_c1,dna_shape,0.7639914643669654,0.7826960000000001,False,False,False
gue_human_tf_0,gue_human_tf_0,dnashaper_all5__logreg_c03,dna_shape,0.8380455102556807,0.8861919999999999,False,False,False
gue_human_tf_0,gue_human_tf_0,dnabert1_6mer__pool_interaction,foundation_db1,0.8174673456657117,0.8872960000000001,False,False,False
gue_human_tf_0,gue_human_tf_0,nt_500m_human_ref__pool_interaction,foundation_nt,0.7724821136347146,0.8437720000000001,False,False,False
gue_human_tf_0,gue_human_tf_0,dnabert2__pool_interaction,foundation_db2,0.7962446515886591,0.878012,False,False,False
gue_human_tf_0,gue_human_tf_0,cross_foundation__attention_interaction,foundation_cross,0.8199696976648261,0.893376,False,False,False
gue_human_tf_0,gue_human_tf_0,cross_foundation__anchor_residual,foundation_residual,0.8720652990380559,0.918076,False,False,False
gue_human_tf_0,gue_human_tf_0,aligned_score_anchor,derived_anchor,0.8871944488272727,0.9216519999999999,True,True,False
gue_human_tf_0,gue_human_tf_0,local_cross,preclassifier_local,0.8246865734725268,0.887036,False,False,False
gue_human_tf_0,gue_human_tf_0,local_cross_db1,preclassifier_local,0.8370357955324699,0.9064639999999999,False,False,False
gue_human_tf_0,gue_human_tf_0,local_cross_db1_nt,preclassifier_local,0.8365231915919051,0.8894360000000001,False,False,False
gue_human_tf_0,gue_human_tf_0,local_cross_nt,preclassifier_local,0.826439957868073,0.8966080000000001,False,False,False
