run_task_id,evaluation_task,stage,n_sources,auc,auprc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,oof_auc,threshold,n_test
gue_prom_300_all,gue_prom_300_all,biophysical_grammar,43,0.9846429712824727,0.9848911341631721,0.8737187476110915,0.9368243243243243,0.9367735013468474,0.9442953020134228,0.9292517006802721,0.9851723787129844,0.46814764738082904,5920
gue_prom_300_all,gue_prom_300_all,position_aware_grammar,44,0.9854845226681278,0.9860370102895573,0.876687981464363,0.9383445945945946,0.9383497694379765,0.9375838926174497,0.9391156462585034,0.986079989762126,0.49675286710262373,5920
gue_prom_300_all,gue_prom_300_all,reliability_routed_l2,44,0.9855342875405194,0.9860946796603158,0.877378495459281,0.9386824324324324,0.9386990366616446,0.9362416107382551,0.941156462585034,0.9860730558170466,0.49637752175331135,5920
gue_prom_300_all,gue_prom_300_all,mucff_dual_decision,44,0.9857148564123636,0.9862809753763404,0.8770292250767459,0.9385135135135135,0.9385221202574989,0.937248322147651,0.939795918367347,0.9862244905020987,0.49747318992655154,5920
gue_prom_core_all,gue_prom_core_all,base_evidence,28,0.9029590816039561,0.9038260848677604,0.6453190460256203,0.8226351351351351,0.8226146648258936,0.8301886792452831,0.8150406504065041,0.9035112595947301,0.4760308310389519,5920
gue_prom_core_all,gue_prom_core_all,foundation_interactions,33,0.9044960267240814,0.905224702425667,0.6460435248062072,0.8222972972972973,0.8223845681853045,0.7900943396226415,0.8546747967479674,0.9046678261188451,0.5439922660589218,5920
gue_prom_core_all,gue_prom_core_all,local_foundation_fusion,39,0.9117093737901665,0.913132381648669,0.6643158369408725,0.8319256756756757,0.8319732978327088,0.8143530997304582,0.8495934959349594,0.9125557553416124,0.5183356255292892,5920
gue_prom_core_all,gue_prom_core_all,rc_grammar_1,40,0.9214447672188987,0.9221680865937685,0.688759890609535,0.8442567567567567,0.844290316218526,0.8318733153638814,0.8567073170731707,0.9214285191292977,0.4946496784687042,5920
gue_prom_core_all,gue_prom_core_all,rc_grammar_2,41,0.9222220281923168,0.9230609297281278,0.6888536622575709,0.8444256756756757,0.8444176911445664,0.8473719676549866,0.8414634146341463,0.9229989619759909,0.46301515027880685,5920
gue_prom_core_all,gue_prom_core_all,rc_grammar_3,42,0.9223630993469638,0.9232084961729979,0.6893995648414653,0.8445945945945946,0.8446254172784315,0.8332210242587601,0.856029810298103,0.9232158747745273,0.48501106947660466,5920
gue_prom_core_all,gue_prom_core_all,biophysical_grammar,43,0.9225887447132559,0.923449046329867,0.6859583779007778,0.8420608108108109,0.8421569003425884,0.8066037735849056,0.877710027100271,0.9239556745652886,0.5390279412269592,5920
