task_id,method,fusion_family,oof_auc,auc,auprc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,mean_oof_threshold,n_test
snnrice6ma_rice_chen,anchor_query_qkv,QKV attention,0.8818993278747067,0.8915741219008264,0.8914131865968697,0.6080208943297569,0.8039772727272727,0.8039772727272727,0.8113636363636364,0.7965909090909091,0.4889422296136618,1760
gue_emp_H3,choquet_pruned_oof,capacity-based fusion,0.947558671085766,0.9457971117973618,0.9457726287326309,0.7441352147250342,0.8717434869739479,0.8715365666446511,0.895364238410596,0.8477088948787062,0.5141435503959656,1497
gue_human_tf_0,choquet_pruned_oof,capacity-based fusion,0.8829252205457994,0.919024,0.9046313571228054,0.6718060547971078,0.832,0.8320000000000001,0.908,0.756,0.5285404905676842,1000
gue_mouse_0,choquet_pruned_oof,capacity-based fusion,0.8778214722856812,0.8878341716201797,0.8967391253343735,0.6342166420829677,0.8098765432098766,0.8098765432098766,0.7037037037037037,0.9160493827160494,0.5673136961460113,810
gue_prom_300_all,choquet_pruned_oof,capacity-based fusion,0.9812747684977356,0.9804057663333791,0.9798702950768501,0.8564391509386005,0.9282094594594594,0.9281753641053737,0.9332214765100671,0.9231292517006803,0.5855742782354368,5920
gue_prom_core_all,choquet_pruned_oof,capacity-based fusion,0.9141016827604104,0.912986889513437,0.914819529415072,0.6722949035420274,0.8361486486486487,0.8361474517710137,0.8365902964959568,0.8357046070460704,0.494125446677208,5920
ipromoter_hs_tata,choquet_pruned_oof,capacity-based fusion,0.925446766147458,0.9334079999999999,0.9235370669495622,0.7333211682262878,0.866,0.866,0.896,0.836,0.5011153817176819,500
ipromoter_hs_notata,choquet_pruned_oof,capacity-based fusion,0.8822323641802777,0.68513136,0.6669989908275664,0.2749298485880128,0.6274,0.6274,0.8152,0.4396,0.5253256207704544,5000
ipromoter_mm_tata,choquet_pruned_oof,capacity-based fusion,0.9183089405246834,0.9403039999999999,0.9351853666565113,0.7362120596141518,0.868,0.868,0.856,0.88,0.4994621980190278,500
ipromoter_mm_notata,choquet_pruned_oof,capacity-based fusion,0.8781520257020137,0.73186288,0.7281045426484886,0.308483755838732,0.648,0.6479999999999999,0.7888,0.5072,0.5160458374023438,5000
snnrice6ma_rice_chen,choquet_pruned_oof,capacity-based fusion,0.8706807659932659,0.8778434917355373,0.8767690508185095,0.5579837279596378,0.7789772727272727,0.7789772727272727,0.7840909090909091,0.7738636363636363,0.5129547565579415,1760
gue_emp_H3,correlation_pruned_weighted_pool,redundancy-pruned pooling,0.9478946427498977,0.9447600007140179,0.9444312499749603,0.7485876191327664,0.87374749498998,0.8734885132361079,0.9033112582781457,0.8436657681940701,0.4551649034023285,1497
gue_human_tf_0,correlation_pruned_weighted_pool,redundancy-pruned pooling,0.8843685090326503,0.921124,0.905506149133367,0.6948464371574729,0.842,0.8420000000000001,0.93,0.754,0.5073925167322159,1000
gue_mouse_0,correlation_pruned_weighted_pool,redundancy-pruned pooling,0.8713159567595946,0.8794939795762841,0.8858805876378998,0.605250684090636,0.7975308641975308,0.7975308641975308,0.7061728395061728,0.8888888888888888,0.5406130933761597,810
gue_prom_300_all,correlation_pruned_weighted_pool,redundancy-pruned pooling,0.9803572118080124,0.9790680500388074,0.9778488422974991,0.8528623062399503,0.9263513513513514,0.9262772222983153,0.937248322147651,0.9153061224489796,0.5181168705224992,5920
gue_prom_core_all,correlation_pruned_weighted_pool,redundancy-pruned pooling,0.9114258580072016,0.9108075912716674,0.912568775640725,0.6648523927236032,0.8322635135135135,0.8323029204011716,0.817722371967655,0.8468834688346883,0.5104163154959679,5920
ipromoter_hs_tata,correlation_pruned_weighted_pool,redundancy-pruned pooling,0.9144015864768696,0.915056,0.8996987948736513,0.7051064751106303,0.852,0.852,0.88,0.824,0.5107411369681358,500
ipromoter_hs_notata,correlation_pruned_weighted_pool,redundancy-pruned pooling,0.8629008428683729,0.6648168,0.6494018697543649,0.2380676049113698,0.6154,0.6154,0.738,0.4928,0.5538374948501589,5000
ipromoter_mm_tata,correlation_pruned_weighted_pool,redundancy-pruned pooling,0.9142823857133976,0.9240320000000001,0.9136680191709403,0.6840492533194223,0.842,0.842,0.836,0.848,0.5022527992725373,500
ipromoter_mm_notata,correlation_pruned_weighted_pool,redundancy-pruned pooling,0.860983273922822,0.713132,0.7104783517211362,0.2866734947600167,0.6388,0.6388,0.7636,0.514,0.5159263086318969,5000
snnrice6ma_rice_chen,correlation_pruned_weighted_pool,redundancy-pruned pooling,0.8664989541883481,0.873149535123967,0.8726263854217557,0.566055301760493,0.7829545454545455,0.7829545454545455,0.7715909090909091,0.7943181818181818,0.5001569719463588,1760
gue_emp_H3,dempster_shafer_pool,belief-function fusion,0.9000888289247093,0.9021625818889345,0.8718962406600306,0.7356226225710534,0.8677354709418837,0.8678067153388908,0.8596026490066225,0.876010781671159,0.9655303388834003,1497
gue_human_tf_0,dempster_shafer_pool,belief-function fusion,0.8382520341842898,0.877428,0.8170719157637786,0.7014980458827497,0.846,0.8460000000000001,0.928,0.764,0.7617624595761305,1000
gue_mouse_0,dempster_shafer_pool,belief-function fusion,0.8533370584235797,0.8656515775034292,0.8544188315945922,0.6148924868714974,0.8012345679012346,0.8012345679012346,0.7012345679012346,0.9012345679012346,0.971652254164219,810
gue_prom_300_all,dempster_shafer_pool,belief-function fusion,0.9436386362937174,0.9388108364151029,0.9094511194662903,0.8476025689380495,0.9236486486486486,0.9235492854860066,0.938255033557047,0.908843537414966,0.34155555814505156,5920
gue_prom_core_all,dempster_shafer_pool,belief-function fusion,0.8658980088458696,0.864076230469178,0.8269812054471174,0.6594564610920237,0.8297297297297297,0.8297257467183836,0.831199460916442,0.8282520325203252,0.0778310973197222,5920
ipromoter_hs_tata,dempster_shafer_pool,belief-function fusion,0.9409575325839106,0.9098719999999999,0.913017021282153,0.6397419183060068,0.818,0.8180000000000001,0.872,0.764,0.6394442799687385,500
ipromoter_hs_notata,dempster_shafer_pool,belief-function fusion,0.9085827332081404,0.72706744,0.7092019125805529,0.3110215777239764,0.6444,0.6444,0.83,0.4588,0.5950947457551957,5000
ipromoter_mm_tata,dempster_shafer_pool,belief-function fusion,0.948781290224532,0.9231520000000001,0.9297241368969519,0.6558360546155919,0.826,0.8260000000000001,0.88,0.772,0.4614254379272465,500
ipromoter_mm_notata,dempster_shafer_pool,belief-function fusion,0.89963400066601,0.76431568,0.7611616633355829,0.3375779743901043,0.659,0.659,0.8268,0.4912,0.37821071848273347,5000
snnrice6ma_rice_chen,dempster_shafer_pool,belief-function fusion,0.8591733305274971,0.8635976239669422,0.8552203572158207,0.5686578571702783,0.7840909090909091,0.7840909090909092,0.7636363636363637,0.8045454545454546,0.5691429074145855,1760
gue_emp_H3,family_best_weighted_pool,redundancy-pruned pooling,0.9429569696487208,0.940625836739794,0.9417608264467968,0.7468331402545078,0.8724114896459586,0.8727093411399296,0.83841059602649,0.9070080862533693,0.5994791150093082,1497
gue_human_tf_0,family_best_weighted_pool,redundancy-pruned pooling,0.8838262313353711,0.923408,0.9100639938368866,0.6893870650547541,0.841,0.841,0.914,0.768,0.5294406783580781,1000
gue_mouse_0,family_best_weighted_pool,redundancy-pruned pooling,0.8608367097921166,0.877049230300259,0.879849351783873,0.6198915284729456,0.8061728395061728,0.8061728395061729,0.7283950617283951,0.8839506172839506,0.5066231656074524,810
gue_prom_300_all,family_best_weighted_pool,redundancy-pruned pooling,0.977619187301041,0.9748681687440076,0.9722555134316695,0.8452439986498409,0.9224662162162162,0.9223656576724649,0.937248322147651,0.9074829931972789,0.5012178480625156,5920
gue_prom_core_all,family_best_weighted_pool,redundancy-pruned pooling,0.913069976452472,0.9127159324575053,0.9138356582341567,0.665648332499104,0.8327702702702703,0.8327918757624234,0.8247978436657682,0.8407859078590786,0.49506551027297974,5920
ipromoter_hs_tata,family_best_weighted_pool,redundancy-pruned pooling,0.9182138434003354,0.9042079999999999,0.8955197696040946,0.6507927362884978,0.818,0.8180000000000001,0.924,0.712,0.48865873470902443,500
ipromoter_hs_notata,family_best_weighted_pool,redundancy-pruned pooling,0.8808175593938335,0.69656704,0.6802366049266819,0.2936012692888588,0.6392,0.6392,0.798,0.4804,0.5219376444816589,5000
ipromoter_mm_tata,family_best_weighted_pool,redundancy-pruned pooling,0.92381552784948,0.9163359999999999,0.9122039713275435,0.6852345342442362,0.842,0.8420000000000001,0.872,0.812,0.5038441187143327,500
ipromoter_mm_notata,family_best_weighted_pool,redundancy-pruned pooling,0.8760682254219005,0.74302848,0.7385567706319577,0.3359202182117637,0.6644,0.6644000000000001,0.7668,0.562,0.5191008353233337,5000
snnrice6ma_rice_chen,family_best_weighted_pool,redundancy-pruned pooling,0.8664710552494643,0.8760756714876035,0.8794881421774601,0.5783626653931137,0.7886363636363637,0.7886363636363636,0.7579545454545454,0.8193181818181818,0.5172079614847898,1760
gue_emp_H3,full_context_logistic_l2,contextual dense stacking,0.9524314404112946,0.9525178058228164,0.9492179802652413,0.7640176839753079,0.8810955243820975,0.8807732814480285,0.9178807947019868,0.8436657681940701,0.4508152395486834,1497
gue_human_tf_0,full_context_logistic_l2,contextual dense stacking,0.8905547966877967,0.923048,0.9098793258928013,0.6742826722585288,0.831,0.831,0.926,0.736,0.4972605001926423,1000
gue_mouse_0,full_context_logistic_l2,contextual dense stacking,0.8822855277860944,0.8964730986130163,0.9090152713005448,0.6508514236008853,0.8185185185185185,0.8185185185185184,0.7160493827160493,0.9209876543209876,0.529267704486847,810
gue_prom_300_all,full_context_logistic_l2,contextual dense stacking,0.9863397687882568,0.9857809432497833,0.9863498841756944,0.8680835899060275,0.933277027027027,0.9330696708213486,0.963758389261745,0.9023809523809524,0.45499083101749427,5920
gue_prom_core_all,full_context_logistic_l2,contextual dense stacking,0.924857177722476,0.9229891311295187,0.9235400662598346,0.6892770538861128,0.84375,0.843844275706908,0.8089622641509434,0.8787262872628726,0.5357728958129883,5920
ipromoter_hs_tata,full_context_logistic_l2,contextual dense stacking,0.9692450061761227,0.9504320000000002,0.9627868381705184,0.7150420894733975,0.854,0.8540000000000001,0.924,0.784,0.5583411562442779,500
ipromoter_hs_notata,full_context_logistic_l2,contextual dense stacking,0.9699290614900864,0.8896952,0.896234214190901,0.35737347752879284,0.6338,0.6337999999999999,0.9652,0.3024,0.5036689490079881,5000
ipromoter_mm_tata,full_context_logistic_l2,contextual dense stacking,0.9725939253616898,0.9492639999999999,0.9627598744716236,0.6893711141230373,0.838,0.8380000000000001,0.936,0.74,0.4495781695842745,500
ipromoter_mm_notata,full_context_logistic_l2,contextual dense stacking,0.964728837356738,0.8833548,0.8979231946244932,0.3871247217655873,0.6532,0.6532,0.9588,0.3476,0.5049758249521256,5000
snnrice6ma_rice_chen,full_context_logistic_l2,contextual dense stacking,0.8765825872359964,0.8886970557851241,0.8896244661966434,0.6156514367584811,0.8073863636363636,0.8073863636363636,0.8340909090909091,0.7806818181818181,0.5013834103047848,1760
gue_emp_H3,histgb_stacking,tree stacking,0.9516072588315644,0.9508237982185253,0.947721487194229,0.7755421522644692,0.8877755511022044,0.8877786901340569,0.8874172185430463,0.8881401617250674,0.5327489137649537,1497
gue_human_tf_0,histgb_stacking,tree stacking,0.8899034125133098,0.9238320000000001,0.9113009902657794,0.6854170333958443,0.834,0.834,0.946,0.722,0.4383250978589058,1000
gue_mouse_0,histgb_stacking,tree stacking,0.881845627799239,0.8934613625971651,0.9054827910235711,0.6488723451586679,0.8185185185185185,0.8185185185185184,0.7234567901234568,0.9135802469135802,0.5301084482669831,810
gue_prom_300_all,histgb_stacking,tree stacking,0.9861234725094216,0.9859109482719263,0.9864308791110497,0.8745861404149093,0.9369932432432433,0.9368613888508424,0.9563758389261745,0.9173469387755102,0.4607173725962639,5920
gue_prom_core_all,histgb_stacking,tree stacking,0.9241141682469318,0.9217598946120864,0.9223134648053992,0.6827866139479896,0.8412162162162162,0.8412570581231419,0.8261455525606469,0.8563685636856369,0.5047997921705247,5920
ipromoter_hs_tata,histgb_stacking,tree stacking,0.9728891710131136,0.9638559999999999,0.9738862214137561,0.8203216291302892,0.91,0.91,0.924,0.896,0.6192415121197703,500
ipromoter_hs_notata,histgb_stacking,tree stacking,0.9715465903135644,0.9088832,0.9282779842111241,0.44208601156060995,0.687,0.687,0.9536,0.4204,0.4714343994855881,5000
ipromoter_mm_tata,histgb_stacking,tree stacking,0.9753930922605408,0.9569759999999999,0.9679512341371952,0.7611944901762485,0.88,0.88,0.908,0.852,0.5827008533477783,500
ipromoter_mm_notata,histgb_stacking,tree stacking,0.9671372136754084,0.90942712,0.9311122754474335,0.5108874650279338,0.7378,0.7378,0.9204,0.5552,0.5326709315180779,5000
snnrice6ma_rice_chen,histgb_stacking,tree stacking,0.8771177685950413,0.8875981404958677,0.884934124548818,0.6028350335504992,0.8011363636363636,0.8011363636363636,0.8227272727272728,0.7795454545454545,0.47015500766038903,1760
gue_emp_H3,lightgbm_stacking,boosted-tree stacking,0.9519836225161772,0.9514432087967013,0.9485877903479998,0.778378552121359,0.8891115564462257,0.8891844129879867,0.8807947019867549,0.8975741239892183,0.5523633986711503,1497
gue_human_tf_0,lightgbm_stacking,boosted-tree stacking,0.8899240338092032,0.9241480000000001,0.9114511538577313,0.6905795344279192,0.839,0.839,0.934,0.744,0.453817325681448,1000
gue_mouse_0,lightgbm_stacking,boosted-tree stacking,0.8818554457187723,0.8940283493369913,0.9063352505771641,0.6460448014332998,0.817283950617284,0.817283950617284,0.7234567901234568,0.9111111111111111,0.5491284459829332,810
gue_prom_300_all,lightgbm_stacking,boosted-tree stacking,0.9861596957952458,0.9860689174998857,0.9865939874740259,0.8734766231102927,0.9364864864864865,0.9363648815230791,0.9543624161073826,0.9183673469387755,0.4653836056590081,5920
gue_prom_core_all,lightgbm_stacking,boosted-tree stacking,0.9244126796336566,0.9220016330469909,0.922543164650554,0.6839043285922296,0.8417229729729729,0.8417697536139782,0.8244609164420486,0.8590785907859079,0.5045237511396409,5920
ipromoter_hs_tata,lightgbm_stacking,boosted-tree stacking,0.972571699899161,0.9614400000000001,0.9719066546256954,0.6599623342612743,0.816,0.8160000000000001,0.96,0.672,0.3238081552088261,500
ipromoter_hs_notata,lightgbm_stacking,boosted-tree stacking,0.9716229681631584,0.9096186400000001,0.9283955974174727,0.5751415637256492,0.7774,0.7774,0.9092,0.6456,0.5478576827049255,5000
ipromoter_mm_tata,lightgbm_stacking,boosted-tree stacking,0.9747945454671054,0.9532800000000001,0.9660934221077202,0.7760248331919996,0.888,0.888,0.884,0.892,0.6553155648708345,500
ipromoter_mm_notata,lightgbm_stacking,boosted-tree stacking,0.9671773157880068,0.91016832,0.9316521426727074,0.5765480844706066,0.7806,0.7806,0.8952,0.666,0.5460191744565963,5000
snnrice6ma_rice_chen,lightgbm_stacking,boosted-tree stacking,0.8791767102846648,0.8900568181818181,0.8873041355670888,0.6092339110867033,0.8039772727272727,0.8039772727272727,0.8363636363636363,0.7715909090909091,0.44370543977618226,1760
gue_emp_H3,majority_vote,voting,0.9315679841560484,0.9240293818389532,0.9213810952869244,0.7188881008680756,0.8590514362057449,0.8592322521911426,0.83841059602649,0.8800539083557951,0.6136363744735718,1497
gue_human_tf_0,majority_vote,voting,0.8692583970741043,0.908188,0.8783526932935595,0.6730546380491192,0.83,0.8300000000000001,0.928,0.732,0.5,1000
gue_mouse_0,majority_vote,voting,0.8429631396219681,0.8546288675506781,0.8419768320206024,0.5700338366611012,0.7839506172839507,0.7839506172839505,0.7407407407407407,0.8271604938271605,0.5249999761581421,810
gue_prom_300_all,majority_vote,voting,0.9722779154510962,0.966559489567639,0.9568263894626328,0.8347926637239692,0.9168918918918919,0.9167168880975209,0.9426174496644295,0.8908163265306123,0.4318181872367859,5920
gue_prom_core_all,majority_vote,voting,0.89741178028872,0.8966793607878801,0.8881864275353271,0.648426375636935,0.8241554054054054,0.8241262719230966,0.8349056603773585,0.8133468834688347,0.4318181872367859,5920
ipromoter_hs_tata,majority_vote,voting,0.6802576088518303,0.6875359999999999,0.686930851833833,0.28403442234029525,0.636,0.636,0.492,0.78,0.6136363744735718,500
ipromoter_hs_notata,majority_vote,voting,0.7539939143156608,0.62820656,0.6119151122172554,0.193203477693898,0.5966,0.5966,0.5936,0.5996,0.5909090638160706,5000
ipromoter_mm_tata,majority_vote,voting,0.6694438623840324,0.6708000000000001,0.663963306222405,0.22555674715258742,0.608,0.608,0.464,0.752,0.5681818127632141,500
ipromoter_mm_notata,majority_vote,voting,0.7567175199945387,0.6867680799999998,0.6722885496556565,0.2736003502086724,0.6368,0.6368,0.636,0.6376,0.5454545617103577,5000
snnrice6ma_rice_chen,majority_vote,voting,0.8325649965564738,0.8327311466942149,0.8300156045297481,0.49152388024318144,0.7454545454545455,0.7454545454545455,0.7204545454545455,0.7704545454545455,0.516124999806285,1760
gue_emp_H3,mlp_stacking,neural stacking,0.951432757481672,0.9506792095821208,0.9492152173458179,0.7608347948559168,0.8804275217100869,0.8804010995876547,0.8834437086092716,0.8773584905660378,0.49176362156868014,1497
gue_human_tf_0,mlp_stacking,neural stacking,0.8881178971282703,0.9247,0.9114239830098589,0.6902339054062705,0.841,0.841,0.918,0.764,0.4616416519880295,1000
gue_mouse_0,mlp_stacking,neural stacking,0.8827641751932438,0.8895229385764366,0.9033864800658615,0.6423398542609279,0.8197530864197531,0.8197530864197531,0.7728395061728395,0.8666666666666667,0.5636591482162477,810
gue_prom_300_all,mlp_stacking,neural stacking,0.9858868443875108,0.9860751951787425,0.9866017696956368,0.8758446240968032,0.9378378378378378,0.9377642332100625,0.9486577181208053,0.9268707482993197,0.44370460659265554,5920
gue_prom_core_all,mlp_stacking,neural stacking,0.9236156762859792,0.9227516727660537,0.9239589579710502,0.6858263602280656,0.8429054054054054,0.8429124756207131,0.8402964959568733,0.8455284552845529,0.48238318413496034,5920
ipromoter_hs_tata,mlp_stacking,neural stacking,0.9663132393590632,0.948464,0.9593999556542501,0.7376933565679422,0.866,0.8660000000000001,0.928,0.804,0.47815308034420095,500
ipromoter_hs_notata,mlp_stacking,neural stacking,0.967911763036073,0.8822483200000001,0.8884809111806582,0.5744177866624565,0.7794,0.7794,0.8952,0.6636,0.5147767159342767,5000
ipromoter_mm_tata,mlp_stacking,neural stacking,0.9677422279583956,0.9513759999999999,0.9626047149705611,0.7276473782476696,0.862,0.8620000000000001,0.912,0.812,0.42879407405853326,500
