task_id,method,oof_auc,auc,auprc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,threshold
ipromoter_hs_notata,aligned_l2,0.9168597594952211,0.9302399633590172,0.9340109890493338,0.7030228610561656,0.8510419346539748,0.8510551325670894,0.8254049884289021,0.8767052767052768,0.5298469233512878
ipromoter_hs_notata,routed_l2,0.9168233420663677,0.9300991179623219,0.9338662949362612,0.7051882925927322,0.8521996398250579,0.8522117128699798,0.8287477500642839,0.8756756756756757,0.5184226471185684
ipromoter_hs_notata,aligned_sparse,0.9169280732344566,0.9304474257161324,0.9343286867656735,0.702138417362567,0.8509133007460766,0.8509208727516776,0.8362046798662895,0.8656370656370657,0.5079851400852206
ipromoter_hs_notata,mucff,0.9169274432678919,0.9306475413443787,0.9345053929220062,0.7024698090994773,0.8510419346539748,0.8510503671213365,0.8346618668038056,0.8674388674388674,0.5076077747344973
ipromoter_hs_tata,aligned_l2,0.9849489489022076,0.9880707762557077,0.9887750768660213,0.8823012602908432,0.9407744874715261,0.9408208800332087,0.9204545454545454,0.9611872146118722,0.5820517110824582
ipromoter_hs_tata,routed_l2,0.9853203976430921,0.988760896637609,0.9893085205479693,0.878550903499539,0.9384965831435079,0.9385637193856371,0.9090909090909091,0.9680365296803652,0.6069112318754203
ipromoter_hs_tata,aligned_sparse,0.9847458762055871,0.9878113325031134,0.9884554156935982,0.874717531350154,0.9373576309794989,0.9373599003735991,0.9363636363636364,0.9383561643835616,0.49805694818496704
ipromoter_hs_tata,mucff,0.984939058734947,0.9885066417600664,0.9890200679301067,0.8793866228968332,0.9396355353075171,0.9396533831465338,0.9318181818181818,0.9474885844748858,0.501937608718872
ipromoter_mm_notata,aligned_l2,0.9446425120803245,0.9537456602623943,0.9553943489061857,0.7668708248771823,0.8831855654067506,0.8832049033591218,0.86544437538844,0.9009654313298038,0.5417191648483277
ipromoter_mm_notata,routed_l2,0.9446203884074522,0.953782145317361,0.9554196597170117,0.765758561327028,0.8827189298491211,0.8827343719605869,0.8685518955873213,0.8969168483338524,0.527003792524338
ipromoter_mm_notata,aligned_sparse,0.9446388486714604,0.9533947456488427,0.9549893827377675,0.7673863263512407,0.8836522009643801,0.8836598536068622,0.8766314481044126,0.8906882591093117,0.5130396294593812
